"state","year","n_case_visits","pct_home_visit","n_home_visit","n_entered_care","n_fatality","fatality_rate","n_first_day_count","first_day_median_stay","pct_maltreat_in_care","n_in_care_check","pct_emotional","pct_medical","pct_neglect","pct_physical","pct_sexual","pct_traffic","pct_other_maltreat","pct_missing_maltreat","child_populaton","pct_child_poverty","two_minus_place_gt24","three_plus_place_gt24","missing_gt24","n_in_care_g24","two_minus_place_len_miss","three_plus_place_len_missing","missing_len_missing","n_in_care_len_missing","two_minus_place_lt12","three_plus_place_lt12","missing_lt12","n_in_care_lt12","two_minus_place_lt24","three_plus_place_lt24","missing_lt24","n_in_care_lt24"
"Connecticut",2018,39837,92,36640,2076,8,1.09,3712,15.7,0.03,5788,32.3,2.9,91.2,5.4,5.2,0,0,0,736061,14.1,40.5,59.5,0,1964,25,75,0,4,81.8,18.1,0,2307,67.7,32.3,0,1513
"Connecticut",2019,41640,92,38374,2050,4,0.55,4095,15.5,0.24,6145,33.2,3.1,91.7,5.5,4.9,NA,0,0,727280,14.1,43.3,56.7,0,2158,100,0,0,3,83.9,16.1,0,2258,71.7,28.3,0,1726
"Connecticut",2020,38316,57,21653,1345,9,1.22,4085,14.9,0.15,5430,31.6,2.6,90.4,5.6,6,NA,0,0,738511,12.3,44.3,55.7,0,2151,100,0,0,4,84.8,15.2,0,1518,74,26,0,1757
"Connecticut",2021,36941,97,35929,1168,14,1.92,3873,20,0.14,5041,27.6,2.8,92.7,4.7,7.2,0.1,0,0,729710,12.7,47.6,52.4,0,2535,100,0,0,3,85.9,14.1,0,1291,75.9,24.1,0,1212
"Delaware",2017,6884,79,5433,448,4,1.96,746,11.6,0,1190,39.2,1.4,29.4,19.1,7.1,NA,17.5,0,204165,18.5,31.8,68.2,0,299,100,0,0,1,85.3,14.7,0,525,58.5,41.5,0,369
"Delaware",2018,6698,78,5251,403,4,1.96,728,13.3,0,1089,NA,NA,61.4,20.9,10.2,NA,16.5,0,204154,18.7,28.5,71.5,0,351,0,0,0,0,84.4,15.6,0,468,60.9,39.1,0,312
"Delaware",2019,6242,80,4992,300,13,6.36,664,15.5,0.22,930,38.5,NA,31,17.8,10.6,NA,13.3,0,204263,16.4,28.6,71.4,0,343,100,0,0,1,84.1,15.9,0,352,59,41,0,268
"Delaware",2020,5460,83,4524,273,5,2.4,546,15.6,0,821,38.2,NA,31.8,16.8,12.7,0,9.7,0,208446,16.7,24,76,0,279,100,0,0,2,86.1,13.9,0,317,67.6,32.4,0,222
"Delaware",2021,4583,90,4103,294,7,3.36,430,14.8,0.41,724,33.2,0.7,24.8,19,19.5,0,11.4,0,208294,16.8,25.1,74.9,0,211,100,0,0,2,83.9,16.1,0,335,65.9,34.1,0,176
"District of Columbia",2017,8602,98,8461,321,4,3.2,810,16.7,0.27,1131,NA,NA,92.7,18.4,3.9,NA,0.3,0,124821,25.6,42.2,57.8,0,481,0,0,0,0,84.6,14.9,0.6,363,63.4,36.6,0,287
"District of Columbia",2018,7850,98,7690,336,5,3.95,732,18.7,0.56,1068,NA,NA,91.8,17.5,3.6,1.4,0.1,0,126703,23.1,38.3,61.7,0,436,0,0,0,0,80.6,19.4,0,366,65,34.6,0.4,266
"District of Columbia",2019,7828,98,7672,360,3,2.34,701,17.2,0.28,1061,NA,NA,94.4,15.2,3.5,1.5,0.3,0,127952,18.9,35.3,64.7,0,380,100,0,0,2,70.7,29.1,0.2,409,64.8,34.8,0.4,270
"District of Columbia",2020,6830,97,6623,212,4,3.15,663,14.6,0.23,875,NA,NA,96.8,13.6,2.3,1.6,0,0.1,126860,21.1,41.6,58.4,0,351,100,0,0,1,76.2,23,0.8,244,55.6,44.4,0,279
"District of Columbia",2021,5806,97,5660,243,2,1.59,567,19.3,0.25,810,NA,NA,100.7,12.5,2.4,0.7,0,0,125835,23.9,33.2,66.8,0,349,100,0,0,4,67.8,31.8,0.4,255,51,48.5,0.5,202
"Florida",2017,263806,99,261101,16799,101,2.4,22935,9.6,0.04,39735,1.1,3,60.5,8.2,7.1,NA,46.3,0,4204867,20.3,41.5,58.5,0,7258,100,0,0,21,82.2,17.8,0,20764,66.8,33.2,0,11692
"Florida",2018,261888,99,259678,16175,111,2.63,23734,10.5,0.01,39909,1.3,3.2,61.5,8.5,7.9,NA,43.7,0,4226134,19.7,42.9,57.1,0,8253,100,0,0,17,81.3,18.7,0,20063,65.2,34.8,0,11576
"Florida",2019,257231,100,256547,15597,114,2.69,23538,10.8,0.02,39135,1.3,3.3,61.2,8.7,9.1,NA,43.1,0,4233967,17.7,43.3,56.7,0,8662,100,0,0,59,81.7,18.3,0,18977,64.8,35.2,0,11437
"Florida",2020,249319,98,243434,13392,101,2.36,23838,11.3,0.01,37230,1,3.4,61.9,8.5,8.4,NA,42.8,0,4282995,16.5,40.5,59.5,0,9250,98.4,1.6,0,61,84.5,15.5,0,16504,65.9,34.1,0,11415
"Florida",2021,245381,83,204847,13212,84,1.96,22949,12.5,0.01,36161,1.3,3.7,61.5,8.2,9.6,NA,41,0,4289280,17.8,41.1,58.9,0,9925,96.9,3.1,0,65,82.9,17.1,0,15763,69.7,30.3,0,10408
"Georgia",2017,142369,83,118415,7821,94,3.74,12216,12.5,0.35,20037,15.3,2.4,79,10.1,5.9,NA,0,0,2513811,21,36.8,63.2,0,5438,91.7,8.3,0,12,81.5,18.3,0.2,8980,61.2,38.7,0.2,5607
"Georgia",2018,154742,82,126671,8082,86,3.43,12968,13.8,0.18,21050,19.6,2.4,74,11.4,6.6,0.4,0,0,2509456,20.5,38.3,61.7,0,6340,100,0,0,7,82.2,17.6,0.2,9189,63.5,36.5,0,5514
"Georgia",2019,148538,81,119967,6468,68,2.71,13708,14.2,0.34,20176,19.8,2.7,68.8,11.9,8.5,0.5,0,0,2505399,18.7,39,61,0,6783,95.2,0,4.8,21,83.2,16.5,0.3,7610,63.5,36.4,0.1,5762
"Georgia",2020,3107,73,2277,4812,85,3.35,12805,16.3,0.3,17618,26,2.9,62.5,12.9,8.8,0.5,0,0,2534740,19,41.2,58.8,0,6902,100,0,0,19,85.1,14.8,0.1,5762,65.7,34.3,0,4935
"Georgia",2021,121841,94,115116,4718,92,3.64,11325,18.2,0.4,16043,24.1,2,66.7,11.6,7.5,0.6,0,0,2524302,20.2,43.7,56.3,0,6784,100,0,0,19,85,14.8,0.2,5320,66.9,33.1,0,3920
"Hawaii",2017,2049,61,1256,1179,4,1.31,1518,11.9,0.11,2697,1.4,1.2,13.1,8.7,4.7,NA,90.4,0,305360,11.5,53.3,46.7,0,599,0,0,0,0,89.4,7.1,3.4,1306,73.2,26.4,0.4,792
