"state","year","n_case_visits","pct_home_visit","n_home_visit","n_entered_care","n_fatality","fatality_rate","n_first_day_count","first_day_median_stay","pct_maltreat_in_care","pct_emotional","pct_medical","pct_neglect","pct_physical","pct_sexual","pct_traffic","pct_other_maltreat","pct_missing_maltreat","child_populaton","pct_child_poverty","length_in_care","two_minus_place","three_plus_place","missing_place","n_in_care_place","n_in_care_total","two_minus_place_all","three_plus_place_all","region"
"Alaska",2021,22724,75,16954,1324,6,3.35,2794,15.7,1.12,34.1,3.8,81.9,21.3,8.5,0.1,0,0,179356,12.4,"greater than 24m",41.9,58.1,0,1491,4119,0.630151007526098,0.369478756979849,"Other"
"Alaska",2021,22724,75,16954,1324,6,3.35,2794,15.7,1.12,34.1,3.8,81.9,21.3,8.5,0.1,0,0,179356,12.4,"time in care missing",50,50,0,2,4119,0.630151007526098,0.369478756979849,"Other"
"Alaska",2021,22724,75,16954,1324,6,3.35,2794,15.7,1.12,34.1,3.8,81.9,21.3,8.5,0.1,0,0,179356,12.4,"less than 12m",79.5,20.4,0.1,1525,4119,0.630151007526098,0.369478756979849,"Other"
"Alaska",2021,22724,75,16954,1324,6,3.35,2794,15.7,1.12,34.1,3.8,81.9,21.3,8.5,0.1,0,0,179356,12.4,"between 12 and 24m",68.8,31.2,0,1101,4119,0.630151007526098,0.369478756979849,"Other"
"Arizona",2017,173979,80,139848,10057,35,2.14,16840,11.9,0.14,0,NA,97.4,8.3,3.2,NA,0,0,1638725,20.8,"greater than 24m",44.7,52.7,2.6,6241,26897,0.680819645313604,0.283856787002268,"West"
"Arizona",2017,173979,80,139848,10057,35,2.14,16840,11.9,0.14,0,NA,97.4,8.3,3.2,NA,0,0,1638725,20.8,"time in care missing",88.2,0,11.8,17,26897,0.680819645313604,0.283856787002268,"West"
"Arizona",2017,173979,80,139848,10057,35,2.14,16840,11.9,0.14,0,NA,97.4,8.3,3.2,NA,0,0,1638725,20.8,"less than 12m",82.5,13.1,4.4,11904,26897,0.680819645313604,0.283856787002268,"West"
"Arizona",2017,173979,80,139848,10057,35,2.14,16840,11.9,0.14,0,NA,97.4,8.3,3.2,NA,0,0,1638725,20.8,"between 12 and 24m",65.1,31.9,2.9,8735,26897,0.680819645313604,0.283856787002268,"West"
"Arizona",2018,153110,81,123826,9173,48,2.93,14736,12.2,0.12,0.1,NA,97.2,8.2,4,NA,0,0,1638657,20.1,"greater than 24m",41.1,57,1.9,5759,23909,0.686397172612824,0.290477728052198,"West"
"Arizona",2018,153110,81,123826,9173,48,2.93,14736,12.2,0.12,0.1,NA,97.2,8.2,4,NA,0,0,1638657,20.1,"time in care missing",84.6,0,15.4,13,23909,0.686397172612824,0.290477728052198,"West"
